,mean_value_5,max_value_5,mean_value_10,max_value_10,mean_value_15,max_value_15
MSWD_4_cel_4_top_5_10_15_bs_16,50.20833117621285,53.57142693655832,72.26190220969065,73.2142824445452,78.45237849099296,79.76190185546875
MSWD_4_cel_2_top_5_10_15_bs_16,49.73214149475098,51.78571292332241,68.30356911250522,69.64285496303013,75.20833091735838,76.78571156093052
MSWD_2_cel_4_top_5_10_15_bs_16,45.62499851499285,48.21428407941546,70.62499773842949,72.02380807059151,78.03571210588727,79.76190185546875
MSWD_2_cel_2_top_5_10_15_bs_16,57.08333105359759,58.333330971854075,78.80952151162283,80.95237949916294,85.89285381862096,86.90475899832589
