,mean_value_5,max_value_5,mean_value_10,max_value_10,mean_value_15,max_value_15
ResNet50_IMAGENET_top_5_10_15_bs_16,27.440475259508407,29.761903762817383,45.9821414402553,48.21428407941546,58.06547429221017,59.523807525634766
ResNet50_RAW_top_5_10_15_bs_16,12.79761861733028,14.880951949528285,24.196427815301075,27.380951472691127,35.17857043402535,38.09523745945522
ResNet50_top_5_10_15_bs_16,49.4642840385437,52.97618865966797,72.08333009992329,73.80952181134906,82.17261695861818,83.33333151681083
